"Year","Lat","Lon","Density"
1981,57.66667,-165.88333,2271.63658717577
1981,57.68333,-166.41667,70.469756641852
1981,57.4,-166.48333,6024.50080085312
1981,57.68333,-164.01667,2672.5136319715
1981,57.35,-163.98333,75.1084832319936
1981,57.68333,-172.15,390.738664305334
1981,57.68333,-172.76667,3065.69895894907
1981,57.33333,-172.71667,946.754994830579
1981,59.35,-171.18917,617.333332482401
1981,60.33667,-171.385,964.648440564805
1981,60.35167,-172.05167,8264.82244464495
1981,59.68334,-171.28834,5901.42373166953
1981,60.02334,-171.29583,582.326654545368
1981,60.6575,-172.07,65.5262111277743
1981,59.015,-171.12334,1428.94804619098
1981,59.005,-175.75334,1407.07799634403
1981,57.32834,-173.36583,393.157266766646
1981,59.645,-171.9,8068.46387972764
1981,60.33417,-174.0225,1426.17658778125
1981,60.0025,-172.59334,845.637079702224
1981,59.98167,-171.9525,16800.9012749068
1981,60.00167,-174.57084,1960.10514873913
1981,59.00167,-177.63084,496.778977175782
1981,59.665,-172.59334,195.369332152667
1981,59.68417,-174.41417,7357.67750147777
1981,59.6675,-175.12417,2322.97379609365
1981,59.6675,-175.895,136.253287064403
1981,59.65417,-176.565,32761.7574860682
1981,59.6625,-177.16667,1164.65330909074
1981,58.98,-176.32334,1876.99963258239
1981,59.3225,-177.03,66.8128407992874
1981,59.98667,-177.89334,69.5185049104589
1981,58.66834,-176.22917,643.026620785943
1981,59.98167,-177.17917,3614.96225534386
1981,59.9875,-176.72167,2328.3629801918
1981,59.9875,-175.8975,929.18951843746
1981,60,-175.23417,530.96543910712
1981,58.68417,-176.8225,589.735900149969
1981,59.3225,-175.72334,534.5027263943
1981,59.3475,-175.08667,493.288296492964
1981,57.5,-170.5925,1113.94558917216
1981,56.84167,-170.485,1064.52637966239
1981,56.8325,-169.88667,3765.2831438729
1981,59.99083,-170.58167,621.584631256292
1981,59.3175,-170.5125,605.134790979573
1981,60.34,-170.00917,770.041308433228
1981,58.99917,-169.84667,948.737221552808
1981,59.675,-169.89,1206.46323028404
1981,59.01,-170.46,16882.1856369607
1981,59.33084,-169.87584,5732.39159936358
1981,59.315,-169.2225,272.506574128806
1981,59.6575,-170.5425,331.85339944195
1981,60.3275,-169.30084,1127.51610626963
1981,60.00834,-169.935,1042.77757365688
1981,60.3225,-170.61167,144.905111756325
1981,59.6575,-169.27667,596.401320687223
1981,59.00167,-168.52917,780.652678419086
1981,60.66242,-174.96584,10440.0791692471
1981,60.6805,-176.37184,1107.85012767191
1981,61.35167,-176.31,1136.72031938204
1981,61.014,-176.47367,425.810551864956
1981,61.00833,-177.66617,10041.9555417137
1981,61.65125,-176.4755,440.918369362671
1981,60.66767,-177.462,609.219182108743
1981,60.33367,-176.00333,237.396455929694
1981,60.33925,-174.685,1870.43162659698
1981,61.32292,-176.98917,217.357667634488
1981,61.00667,-177.01108,1469.72789787557
1981,60.65308,-176.81692,8123.33467549924
1981,60.33984,-176.75125,1362.53287064403
1981,60.33317,-177.41534,291.919145093172
1981,57.66625,-173.40392,953.773009450822
1981,57.82917,-170.58725,668.128407992874
1981,56.82933,-169.28184,4399.80138989834
1981,56.82959,-168.60809,425.810551864956
1981,57.83175,-169.89592,233.803953324623
1981,57.49667,-169.97833,67.2371989977303
1981,57.83033,-168.675,460.637119966723
1981,57.17067,-169.21817,304.880355135308
1981,57.18133,-168.59383,1769.20770044991
1981,57.50325,-168.60659,133.625681598575
1981,57.8265,-169.25867,207.194877085431
1981,57.50625,-169.25725,304.880355135308
1982,57,-169.55,7813.76029234811
1982,57.03333,-170.25,6026.00495871538
1982,57.35,-171.48333,56388.9233831275
1982,55.68333,-165.76667,1889.1885742983
1982,55.68333,-165.16667,456.829846688747
1982,56.33333,-168.88333,316.770665889484
1982,55.33333,-165.16667,289.832864026617
1982,56.01667,-163.96667,755.876996918496
1982,56.01667,-163.4,161.099542918787
1982,55,-165.15,213.434299761093
1982,55.33333,-164.58333,1357.21219156083
1982,54.98333,-165.73333,146.461051597248
1982,55.33333,-165.78333,219.119734671936
1982,55.33333,-166.33333,1455.49891891811
1982,55.33333,-166.95,4686.83678857918
1982,57,-170.8,597.624072077958
1982,55.66667,-166.96667,3135.35884315021
1982,56.66667,-168.88333,1778.50030337617
1982,55.33333,-163.98333,3112.01210363106
1982,55.66667,-167.56667,8960.74462682085
1982,56.01667,-167.61667,3208.19910457947
1982,55.68333,-163.38333,144.956538563786
1982,55.68333,-164.01667,624.930555405521
1982,57,-171.4,18964.1158380238
1982,55.68333,-164.58333,95.5126323244741
1982,56.01667,-164.58333,1427.36030631769
1982,56.33333,-164.6,12204.8863647552
1982,56,-165.2,39356.0992884841
1982,55.99167,-165.8,274.443591173481
1982,57.01667,-163.36667,72.4782692818929
1982,55.35,-163.43333,77.8724928986408
1982,55.96667,-162.8,809.652140871193
1982,57.35,-163.35,1414.03446860003
1982,56.35,-163.36667,3604.80776607914
1982,56.31667,-162.8,501.052824026231
1982,56.65,-162.75,375.576067718613
1982,56.33333,-163.98333,356.621841471251
1982,56.66667,-163.4,424.592077648827
1982,56.68333,-162.2,559.504293911464
1982,56.35,-162.2,13063.1741080385
1982,56,-162.21667,363.453677514761
1982,56.66667,-161.65,271.561615652539
1982,57,-161.55,373.559251125852
1982,57.35,-161.53333,521.086396077343
1982,57.35,-160.91667,1547.28889478198
1982,56.68333,-161,1234.75801987182
1982,56.65,-160.36667,335.414821004462
1982,57.66667,-161.5,826.366493131294
1982,57.35,-162.13333,169.19436785376
1982,57.01667,-162.15,22002.2917656183
1982,57.33333,-162.76667,32809.7039124679
1982,57,-162.76667,6469.2678502932
1982,58.01667,-163.36667,64.5356874517327
1982,57.68333,-163.33333,1486.73245580989
1982,57,-164.01667,69565.371601599
1982,57,-165.18333,1292.09711689815
1982,56.66667,-166.41667,2339.87396749887
1982,57,-166.45,2731.96589189265
1982,56.66667,-164.61667,7201.5855825057
1982,57,-165.83333,17265.5932723116
1982,57,-167.08333,2332.27866411084
1982,56.7,-165.86667,2085.72635797796
1982,56.66667,-163.98333,8529.45313241363
1982,57,-164.58333,1006.04768350746
1982,57.33333,-167.1,24892.6049323798
1982,57.33333,-172.08333,4420.39874752135
1982,56.66667,-170.73333,1556.80405745913
1982,56.35,-165.83333,1280.51307867652
1982,57,-172.03333,72510.0559393308
1982,56.68333,-170.1,3599.00315868294
1982,56.35,-165.23333,2434.60320687899
1982,56.66667,-165.23333,4886.74300774852
1982,56.33333,-170.06667,579.344358965769
1982,55.63333,-168.25,264.963300289245
1982,55.66667,-166.4,428.679056038822
1982,56.66667,-171.33333,665.389220639714
1982,56,-166.4,1083.56100185513
1982,57,-172.66667,9091.69315085818
1982,56.35,-166.43333,22298.7780095586
1982,57.35,-170.83333,849.447552133462
1982,57.33333,-168.38333,66.0067906005897
1982,56.66667,-168.3,151.139571177812
1982,58,-171,890.234008093407
